Competencia;Clase
Asesorar y diseñar estructuras como puentes, presas, muelles, carreteras, aeropuertos, ferrocarriles, canales, tuberías, sistemas de eliminación de residuos y de control de inundaciones, y edificios industriales y otros grandes edificios;Específicas
Asesorar y diseñar maquinaria y herramientas para la fabricación, minería, construcción, agricultura y otros fines industriales;Específicas
Asesorar y diseñar motores de vapor, combustión interna y otros motores no eléctricos y motores utilizados para la propulsión de locomotoras de ferrocarril, vehículos de carretera o aeronaves, o para el accionamiento de maquinaria industrial o de otro tipo;Instrumentales
Asesorar y diseñar partes no eléctricas de aparatos o productos como procesadores de texto, ordenadores, instrumentos de precisión, cámaras y proyectores;Específicas
Asesorar y diseñar sistemas para motores eléctricos, tracción eléctrica y otros equipos, o electrodomésticos;Instrumentales
Asesorar y diseñar: cascos, superestructuras y sistemas de propulsión de buques;Sistémicas
Asesorar y participar en la negociación de las condiciones y la organización de préstamos y la colocación de acciones y bonos en el mercado financiero para obtener capital para los clientes;Interpersonales
Asesorar y trabajar en los aspectos anteriores y en otros aspectos del análisis de puestos de trabajo y ocupaciones en ámbitos como la administración de personal, la investigación y planificación de la mano de obra, la formación o la información ocupacional y la orientación profesional;Específicas
Asesorar, diseñar y dirigir la construcción de edificios, ciudades y sistemas de tráfico, o estructuras de ingeniería civil e industrial, así como máquinas y otros equipos;Específicas
Asesorar, negociar las condiciones y colocar contratos de seguro para tipos de proyectos, instalaciones o riesgos grandes o especiales;Sistémicas
Asesorar, planificar e implantar políticas y sistemas presupuestarios, de control de cuentas y otros sistemas contables;Instrumentales
Asignar, revisar, gestionar y dirigir el trabajo de analistas de sistemas, programadores y otros trabajadores relacionados con la informática;Específicas
Asistencia a directores e intérpretes en la puesta en escena de producciones teatrales, cinematográficas, televisivas o comerciales;Sistémicas
Asistencia y apoyo a profesionales jurídicos, de asistencia social y religiosos;Específicas
Asistir a actos empresariales, sociales y de otro tipo para promocionar la organización;Instrumentales
Asistir en la planificación y realización de cálculos estadísticos, matemáticos, actuariales y afines;Específicas
Asumir la responsabilidad del despliegue de soluciones funcionales, como la creación, adopción y aplicación de planes de prueba del sistema;Sistémicas
Asumir responsabilidades creativas, financieras y organizativas en la producción de programas de televisión, películas y representaciones escénicas;Específicas
Auditar cuentas y registros contables;Específicas
Autoedición;Básicas
Autorizar los recursos materiales, humanos y financieros para aplicar las políticas y programas;Específicas
Autorizar los recursos materiales, humanos y financieros para aplicar las políticas y programas de la organización;Específicas
Autorizar recursos materiales, humanos y financieros para la aplicación de políticas y programas;Específicas
Ayuda a los clientes a resolver problemas personales y sociales;Básicas
Ayudar a analizar, especificar y desarrollar estrategias de internet, metodologías basadas en la web y planes de desarrollo;Específicas
Ayudar a las personas que no saben leer ni escribir con la correspondencia;Interpersonales
Ayudar a los clientes a determinar el tipo y el grado de cobertura requeridos, calcular las primas y establecer el método de pago;Instrumentales
Ayudar a los clientes a obtener los documentos de viaje necesarios, como visas;Interpersonales
Ayudar a los programadores de aplicaciones, desarrolladores de sistemas y otros profesionales de las tic a desarrollar y probar productos y servicios de ti;Específicas
Ayudar a los usuarios con problemas de comunicación de datos y redes;Sistémicas
Ayudar a poner en práctica las recomendaciones aprobadas, publicar instrucciones y manuales de procedimiento revisados y redactar otra documentación;Específicas
Ayudar con los registros y cálculos de contabilidad y teneduría de libros;Específicas
Ayudar en la contratación, entrevista y selección de empleados;Sistémicas
Ayudar en la planificación y realización de cálculos matemáticos, estadísticos, actuariales, contables y otros relacionados;Específicas
Ayudar en la planificación y realizar cálculos matemáticos, estadísticos, actuariales, contables y otros relacionados;Específicas
Ayudar en la preparación de presupuestos, control de gastos, redacción de contratos y órdenes de compra o adquisición;Sistémicas
Ayudar en la preparación de presupuestos, redacción de contratos y órdenes de compra o adquisición;Instrumentales
Ayudar y fomentar el desarrollo de objetivos, estrategias y planes destinados a lograr la satisfacción del cliente y el uso eficiente de los recursos de las organizaciones;Sistémicas
Brindar asesoramiento técnico e información, y monitorear el desempeño de redes y equipos de telecomunicaciones complejos;Instrumentales
Calcular las cantidades de los materiales de producción requeridos en fechas específicas y ayudar con la preparación y verificación de los programas de operaciones de producción;Instrumentales
Calcular los costos unitarios de producción;Interpersonales
Calcular salarios y, en algunos casos, preparar paquetes de salarios y pagar salarios;Instrumentales
Calcular salarios y, en algunos casos, preparar paquetes de salarios y pagar salarios, haciéndose cargo de las transacciones en efectivo relacionadas con el negocio;Instrumentales
Calcular totales, promedios, porcentajes y otros detalles y presentarlos en la forma tabular requerida;Sistémicas
Calcular, preparar y emitir boletas, facturas, estados de cuenta y otros estados financieros de acuerdo con los procedimientos establecidos.  compilar informes y cuadros estadísticos, financieros, contables o de auditoría relacionados con asuntos tales como recibos de efectivo, gastos, cuentas por pagar y por cobrar, y ganancias y pérdida;Específicas
Campañas de marketing, relaciones públicas y publicidad;Interpersonales
Cargar equipos periféricos, como impresoras, con materiales seleccionados para tiradas operativas, o supervisar la carga de equipos periféricos por parte de los operadores de equipos periféricos;Específicas
Cargar equipos periféricos, tales como impresoras, con materiales seleccionados para operaciones, o supervisar la carga de equipos periféricos por parte de los operadores de equipos periférico;Específicas
Cartografiar el campo magnético de la tierra y aplicar estos y otros datos recogidos para radiodifusión, navegación y otros fines;Instrumentales
Checking completed work for proper spelling, grammar, punctuation and formatting;Interpersonales
Clasificar, abrir y enviar correo;Sistémicas
Clasificar, registrar y resumir datos numéricos y financieros para compilar y mantener registros financieros, utilizando diarios y libros mayores o computadoras;Sistémicas
Cobrar alquileres y fianzas en nombre del propietario e inspeccionar propiedades antes, durante y después de los arrendamientos;Instrumentales
Colaboración con científicos medioambientales, planificadores, técnicos en residuos peligrosos, ingenieros de otras disciplinas y especialistas en derecho y empresa para abordar problemas medioambientales;Específicas
Colaborar con otros profesionales sanitarios para planificar, supervisar, revisar y evaluar la calidad y eficacia de la terapia medicamentosa de cada paciente, así como la eficacia de determinados fármacos o terapias;Sistémicas
Combinar habilidades creativas y técnicas en diversas actividades artísticas, culturales y culinarias;Específicas
Compilar, registrar y revisar historiales médicos, informes, documentos y correspondencia;Específicas
Compilar, registrar y revisar historiales, informes, documentos y correspondencia legales y médicos;Específicas
Comprar equipos generales y especializados, materiales o servicios empresariales para su uso o para su posterior procesamiento por parte de su establecimiento;Instrumentales
Comprar maquinaria, equipos y suministros como tractores, semillas, fertilizantes y productos químicos;Instrumentales
Comprar mercancías para su reventa por parte de establecimientos minoristas o mayoristas;Específicas
Comprar y vender espacio de carga en buques;Interpersonales
Comprobar la documentación de importación/exportación para determinar el contenido de la carga, y clasificar las mercancías en diferentes tasas o grupos arancelarios, utilizando un sistema de codificación arancelaria;Instrumentales
Comprobar y custodiar todos los ingresos en efectivo y realizar comprobaciones periódicas de las existencias;Interpersonales
Comunicación con otro personal para evaluar el estado de funcionamiento de los equipos;Instrumentales
Comunicarse con especialistas en redes sobre cuestiones relacionadas con la web, como la seguridad y el alojamiento de sitios web, para controlar y aplicar la seguridad de internet y de los servidores web, la asignación de espacio, el acceso de los usuarios, la continuidad de las actividades, las copias de seguridad de los sitios web y la planificación de la recuperación en caso de catástrofe;Sistémicas
Concebir y aplicar esquemas y modelos conceptuales para el almacenamiento, la organización, la clasificación y la recuperación de la información;Sistémicas
Concebir y crear formas de arte visual;Instrumentales
Concebir y escribir música original;Básicas
Concebir y recomendar el uso y el desarrollo del suelo, y presentar planes, programas y diseños narrativos y gráficos a grupos y particulares;Instrumentales
Concebir, crear e interpretar obras literarias y artísticas;Instrumentales
Conectar componentes a conjuntos tales como sistemas de radio, instrumentos, magnetos, inversores y sistemas de reabastecimiento de combustible en vuelo;Instrumentales
Configurar equipos para uso de los empleados y realizar o garantizar la instalación adecuada de cables, sistemas operativos o software apropiado;Instrumentales
Configurar equipos para uso de los empleados, realizar o garantizar la instalación adecuada de cables, sistemas operativos o software apropiado;Sistémicas
Configurar, supervisar y manejar instrumentos y equipos, realizar y supervisar experimentos y pruebas de sistemas;Instrumentales
Construcción, mantenimiento y reparación de edificios y otras estructuras;Específicas
Construir bajo contrato o subcontratar servicios de construcción especializados;Sistémicas
Consultar a los clientes sobre el mantenimiento de sistemas informáticos;Interpersonales
Consultar a usuarios, directivos, proveedores y técnicos para evaluar las necesidades informáticas y los requisitos del sistema, y especificar la tecnología necesaria para satisfacer dichas necesidades;Interpersonales
Consultar con autoridades gubernamentales, comunidades y especialistas en campos como la arquitectura, la planificación, las ciencias sociales, el medio ambiente y el derecho;Interpersonales
Consultar con el director general y con los directores de otros departamentos o secciones;Interpersonales
Consultar con el director general y con los responsables de otros departamentos o secciones;Interpersonales
Consultar con el personal subordinado superior y revisar las recomendaciones e informes;Interpersonales
Consultar con la alta dirección y con los directivos de otros departamentos;Interpersonales
Consultar con la alta dirección y con los responsables de otros departamentos;Interpersonales
Consultar con los clientes después de la venta para garantizar una resolución satisfactoria de cualquier problema y proporcionarles apoyo continuo;Básicas
Consultar con los clientes para evaluar su satisfacción con las comidas y el servicio;Interpersonales
Consultar con los compradores para organizar la venta de cosechas, capturas y existencias;Interpersonales
Consultar con los compradores para organizar la venta de cultivos y ganado;Básicas
Consultar con los compradores para organizar la venta de productos y capturas;Sistémicas
Consultar con los usuarios para formular y documentar los requisitos y con la dirección para garantizar el acuerdo sobre los principios de los sistemas;Instrumentales
Consultar con los usuarios para tratar cuestiones como las necesidades de acceso a los datos informáticos, las violaciones de la seguridad y los cambios de programación;Interpersonales
Consultar con otros directivos para establecer cuotas de producción, planificar los lugares de extracción y desarrollar políticas para la retirada de materias primas;Específicas
Consultar con personal de ingeniería para evaluar interfaces entre hardware y software;Sistémicas
Consultar con químicos, profesionales de la ingeniería y otros profesionales sobre técnicas de fabricación e ingredientes;Específicas
Consultar con usuarios, directivos, proveedores y técnicos para evaluar las necesidades informáticas y los requisitos del sistema y especificar la tecnología para satisfacer esas necesidades;Interpersonales
Consultar e informar a otros directivos sobre asuntos de producción;Interpersonales
Consultar guías de usuario, manuales técnicos y otros documentos para investigar e implementar soluciones;Interpersonales
Contacto con los padres, las juntas, los organismos de financiación, los representantes de la comunidad y los organismos relacionados para debatir las áreas de cooperación y coordinación;Interpersonales
Contratar con agricultores o propietarios independientes la producción de cultivos y ganado, o la gestión de la producción;Sistémicas
Contratar con agricultores, patrones o propietarios independientes la producción y la gestión de la misma;Específicas
Contratar con patrones de pesca o propietarios de buques y explotaciones acuícolas para operaciones de pesca y acuicultura, o para la gestión de la producción;Sistémicas
Contratar y evaluar al personal y coordinar su desarrollo profesional;Instrumentales
Contratar y supervisar a todo el personal técnico, y determinar el tratamiento, el alcance y la programación de la producción;Específicas
Contratar, formar, desarrollar y asesorar al personal de una organización;Instrumentales
Contribuir al diseño de productos cuando los bienes o servicios deban adaptarse a las necesidades de los clientes;Sistémicas
Control de la preparación de registros e informes de producción;Instrumentales
Control de la puesta en marcha y parada de los procesos;Instrumentales
Control del funcionamiento de la planta y de los procedimientos de calidad mediante la planificación del mantenimiento, la designación de las horas de funcionamiento y el suministro de equipos;Sistémicas
Control y mantenimiento de sistemas de radiocomunicaciones, servicios satelitales y sistemas multiplex en tierra, mar o aeronaves;Sistémicas
Control y mantenimiento de sistemas de transmisión y difusión y sistemas de satélite para programas de radio y televisión;Sistémicas
Controlar el funcionamiento de la planta de producción y los procedimientos de calidad mediante la planificación del mantenimiento, la designación de las horas de funcionamiento y el suministro de piezas y herramientas;Sistémicas
Controlar el funcionamiento de la planta y los procedimientos de calidad mediante la planificación del mantenimiento, la designación de las horas de funcionamiento y el suministro de equipos;Sistémicas
Controlar el funcionamiento de las instalaciones y los procedimientos;Específicas
Controlar equipos para grabar sonido y editar y mezclar grabaciones de imagen y sonido;Instrumentales
Controlar equipos para grabar sonido, editar y mezclar grabaciones de imagen y sonido;Instrumentales
Controlar la calidad en todas las fases de preparación y presentación de alimentos y servicios;Sistémicas
Controlar la preparación de registros e informes de producción;Sistémicas
Controlar la selección, formación y supervisión del personal;Interpersonales
Controlar la selección, la formación y el rendimiento del personal;Interpersonales
Controlar la selección, supervisión y rendimiento del personal;Sistémicas
Controlar las operaciones administrativas, como la planificación presupuestaria, la elaboración de informes y el gasto en suministros, equipos y servicios;Sistémicas
Controlar los gastos y garantizar el uso eficiente de los recursos;Instrumentales
Controlar los sistemas de radiocomunicaciones, los servicios por satélite y los sistemas multiplex en tierra, mar o aeronaves;Sistémicas
Controlar los sistemas de transmisión y difusión y los sistemas de satélite para programas de radio y televisión;Sistémicas
Controlar operaciones administrativas como la planificación presupuestaria, la preparación de informes y el gasto en suministros, equipos y servicios;Sistémicas
Controlar y mantener sistemas de radiocomunicación, servicios por satélite y sistemas multiplex en tierra, mar o aeronaves;Sistémicas
Controlar y mantener sistemas de transmisión y difusión y sistemas de satélite para programas de radio y televisión;Sistémicas
Convocar licitaciones, consultar con los proveedores y revisar las ofertas;Instrumentales
Coordinación de la aplicación de los requisitos de salud y seguridad;Sistémicas
Coordinar el trabajo con el de los ingenieros, técnicos y otro personal de mantenimiento;Interpersonales
Coordinar la aplicación de los requisitos de salud y seguridad;Instrumentales
Coordinar la aplicación de los requisitos de salud y seguridad en el trabajo;Específicas
Coordinar la aplicación de políticas y prácticas;Específicas
Coordinar la cooperación con otras sucursales de la empresa;Interpersonales
Coordinar la cooperación con otros organismos de prestación de servicios en el mismo ámbito o en ámbitos relacionados;Específicas
Coordinar la selección y el mantenimiento de los reproductores;Sistémicas
Coordinar los recursos de mano de obra y la adquisición y entrega de materiales, instalaciones y equipos;Instrumentales
Coordinar y administrar los programas de bienestar y los servicios de atención a las personas mayores;Interpersonales
Coordinar y vincular los sistemas informáticos dentro de una organización para aumentar la compatibilidad;Interpersonales
Coordinar, asignar y revisar el trabajo de los empleados de apoyo administrativo;Específicas
Coordinar, asignar y revisar el trabajo de los empleados que realizan las siguientes funciones: tratamiento de textos, mantenimiento de registros y archivo, manejo de teléfonos y centralitas;Específicas
Coordinar, supervisar, controlar y programar las actividades de otros trabajadores;Específicas
Cotizar precios y condiciones de crédito, registrar pedidos y organizar entregas;Básicas
Cotizar y negociar precios y condiciones de crédito, y completar contratos y registrar pedidos;Sistémicas
Cotizar y negociar precios y condiciones de crédito, y formalizar contratos;Interpersonales
Cotizar y negociar precios y condiciones de crédito, y preparar y administrar los contratos de venta;Instrumentales
Crear e interpretar obras de arte;Específicas
Crear platos y menús y supervisar la preparación de comidas;Instrumentales
Crear y mantener una base de clientes;Interpersonales
Crear y modificar páginas web;Específicas
Crear, planificar, redactar guiones para la grabación, la videograbación y el montaje de programas;Sistémicas
Cumplimentar formularios de seguros y otras reclamaciones;Instrumentales
Cumplimentar la documentación de créditos y préstamos;Instrumentales
Cumplir las leyes y reglamentos sobre bebidas alcohólicas, juego, sanidad y otros;Específicas
Debatir los sistemas actuales con el personal y observar los sistemas en todos los niveles de la organización;Sistémicas
Defender los casos de los clientes ante los tribunales de justicia, los juzgados y las juntas administrativas o encargar a los abogados que defiendan los casos ante los tribunales superiores de justicia;Específicas
Defender y dirigir casos en un tribunal de justicia;Específicas
Desarrollar aparatos y procedimientos para probar componentes, circuitos y sistemas electrónicos;Específicas
Desarrollar e impartir programas de entrenamiento deportivo, fitness y recreativos;Específicas
Desarrollar e implantar planes de seguridad y políticas de administración de datos, y administrar redes informáticas y entornos informáticos relacionados;Interpersonales
Desarrollar e implementar políticas, procedimientos y guiones de pruebas de software y sistemas de información;Instrumentales
Desarrollar e implementar programas para mejorar el desarrollo físico, social, emocional e intelectual de los niños pequeños;Interpersonales
Desarrollar especificaciones funcionales para uso de los desarrolladores de sistemas;Específicas
Desarrollar especificaciones para la fabricación y determinar los materiales, equipos, tuberías, flujos de materiales, capacidades y disposición de plantas y sistemas;Específicas
Desarrollar información y riesgos de determinados medicamentos;Instrumentales
Desarrollar los procedimientos de seguridad que deben emplearse;Interpersonales
Desarrollar planes para salvaguardar los archivos informáticos contra modificaciones accidentales o no autorizadas, destrucción o divulgación y para satisfacer las necesidades de procesamiento de datos de emergencia;Sistémicas
Desarrollar políticas y procedimientos para el acceso y uso de bases de datos y para la copia de seguridad y recuperación de datos;Específicas
Desarrollar procedimientos de control medioambiental, control de calidad y otros procedimientos diversos para fabricantes o usuarios;Específicas
Desarrollar teorías y métodos arquitectónicos nuevos o mejorados;Instrumentales
Desarrollar y aplicar declaraciones y directrices administrativas y de procedimiento para uso del personal de la organización;Instrumentales
Desarrollar y aplicar políticas, documentación, normas y modelos de administración de datos;Interpersonales
Desarrollar y aplicar un código disciplinario para crear un entorno seguro y propicio para los estudiantes y profesores;Específicas
Desarrollar y dirigir procedimientos de prueba y validación de software;Instrumentales
Desarrollar y documentar planes de pruebas de software;Sistémicas
Desarrollar y gestionar los recursos administrativos y físicos de la organización;Sistémicas
Desarrollar y mantener colecciones de archivos en bibliotecas y galerías;Interpersonales
Desarrollar y mantener documentación, políticas e instrucciones, registrar procedimientos operativos y registros del sistema;Específicas
Desarrollar y mantener la colección sistemática de material grabado y publicado y ponerlo a disposición de los usuarios en bibliotecas e instituciones afines;Instrumentales
Desarrollar y probar modelos matemáticos informáticos del tiempo y el clima para uso experimental u operativo;Instrumentales
